 ProductName Brand Price Quantity Category Barcode Quantity
 DiaperPants-Medium Pampers 6.38 26pcs BabyCare 9604541054461 280
 HairFallRescueShampoo Dove 15.98 1L Beauty&Hygiene 9751280267442 392
 100%NaturalPremiumKashmiriWalnutsKernels Happilo 7.28 200g Gourmet&WorldFood 7927317001131 377
 Amla(Loose) Fresho 2.16 1kg Fruits&Vegetables 6462113444706 262
 Amla(Loose) Fresho 0.54 250g Fruits&Vegetables 2438050036148 236
 Amla(Loose) Fresho 1.08 500g Fruits&Vegetables 9036610583350 296
 Amla(Loose) Fresho 0.22 100g Fruits&Vegetables 6560367551963 149
 SpringOnion-Withroots Fresho 0.23 100g Fruits&Vegetables 2186012316435 98
 Mach3-ManualShavingRazorBladesCartridge Gillette 20.78 12pcs Beauty&Hygiene 9666699452949 174
 Mach3-ManualShavingRazorBladesCartridge Gillette 14.38 8pcs Beauty&Hygiene 8564151342293 270
 Mach3ShavingBlades Gillette 24.96 2x6pcs Beauty&Hygiene 4297359936038 308
 Mach3-ManualShavingRazorBladesCartridge Gillette 4.16 2pcs Beauty&Hygiene 9454952232649 273
 NachoChips-Cheese Tasties 0.64 60g Gourmet&WorldFood 9297581166866 312
 NachoChips-Cheese Tasties 1.44 150g Gourmet&WorldFood 6287438583081 316
 NachoChips-Cheese Tasties 2.88 2x150g Gourmet&WorldFood 4411795665363 202
 NachoChips-Cheese Tasties 1.28 2x60g Gourmet&WorldFood 4636218074080 184
 Garlic-Peeled Fresho 1.23 200g Fruits&Vegetables 5640518532627 82
 Garlic-Peeled Fresho 1.62 3x100g Fruits&Vegetables 6271219104219 345
 Garlic-Peeled Fresho 0.54 100g Fruits&Vegetables 7886379563947 124
 Pearl&BeautyWomenDeodorantRoll-On-ForSmooth&BeautifulUnderarms Nivea 6.37 2x50ml Beauty&Hygiene 1128213685967 112
 Coconut-Large Fresho 0.58 1pc Fruits&Vegetables 2825298083096 62
 VisibleWhiteToothpaste-SparklingMint Colgate 2.32 100g Beauty&Hygiene 6345976951447 370
 VisibleWhiteColgateToothpaste-SparklingMin Colgate 1.41 50g Beauty&Hygiene 3749954615196 211
 VisibleWhiteTeethWhiteningToothpaste Colgate 9.28 100g Beauty&Hygiene 5495126030953 229
 Chocos-Moons&Stars Kelloggs 3.04 375g Snacks&BrandedFoods 2784149892934 162
 Chocos-Moons&Stars Kelloggs 10.78 1.2Kg Snacks&BrandedFoods 5722731703133 382
 Chocos-Moons&Stars Kelloggs 0.08 11g Snacks&BrandedFoods 2247620720823 360
 GreenPeas Yummiez 1.04 200g Snacks&BrandedFoods 4690976859171 278
 GreenPeas Yummiez 2.4 500g Snacks&BrandedFoods 5867385462653 101
 GreenPeas Yummiez 4.16 1Kg Snacks&BrandedFoods 8579392543464 42
 CocoaNourishOil-In-Lotion Nivea 16.61 2x400ml Beauty&Hygiene 5975539111979 169
 CocoaNourishBodyLotionForVeryDrySkin-WithCoconutOil&CocoaButter Nivea 24.91 3x400ml Beauty&Hygiene 8144292952517 307
 FrozenSweetCorn Fresho 3.2 1kg Snacks&BrandedFoods 7372580009616 311
 WhiteningSmoothSkinWomenDeodorantRoll-OnFor48HProtection Nivea 6.37 2x50ml Beauty&Hygiene 9403393812680 232
 WhiteningSmoothSkinWomenDeodorantRollOnFor48hProtection Nivea 3.18 50ml Beauty&Hygiene 2373984670043 311
 UltraOvernightSanitaryPads-XLPlusWings Whisper 3.04 15pcs Beauty&Hygiene 2992589277822 160
 UltraOvernightSanitaryPads-ExtraLargeWings Whisper 1.44 7pcs Beauty&Hygiene 1116274468215 298
 UltraNightSanitaryPads-XLPlus Whisper 6.4 15pcs Beauty&Hygiene 2005069323232 381
 FruitPowerJuice-Litchi Real 1.84 1L Beverages 1595781338442 271
 India'sNo.1Juice-Litchi Real 0.32 180ml Beverages 3427695603498 309
 FruitPower-Litchi Real 3.68 2x1L Beverages 6363078842933 212
 FruitPowerJuice-Litchi Real 5.52 3x1L Beverages 5601530947901 343
 Fusion-ManualShavingRazorBladesCartridge Gillette 26.38 8pcs Beauty&Hygiene 6570261112085 359
 Fusion-ManualShavingRazorBladesCartridge Gillette 16.0 4pcs Beauty&Hygiene 3195579363001 87
 Fusion-ManualShavingRazorBladesCartridge Gillette 8.8 2pcs Beauty&Hygiene 4486826641412 358
 100%NaturalKashmiriDeluxeWalnutsKernels Happilo 6.8 200g Gourmet&WorldFood 5206805411508 327
 DurumWheatPasta-Spaghetti HappyChef 4.96 2x500g Gourmet&WorldFood 6042448759004 139
 100%DurumWheatPasta-Spaghetti HappyChef 2.48 500g Gourmet&WorldFood 7809928000275 145
 Garlic-OrganicallyGrown(Loose) Fresho 0.3 100g Fruits&Vegetables 2253073128471 194
 Garlic-OrganicallyGrown(Loose) Fresho 0.74 250g Fruits&Vegetables 7543650877484 387
 Garlic-OrganicallyGrown(Loose) Fresho 2.96 1kg Fruits&Vegetables 6536859059674 290
 BabyLotion HimalayaBaby 2.72 200ml BabyCare 6168416132049 186
 BabyLotion HimalayaBaby 4.8 400ml BabyCare 4904466791151 357
 BabyLotion HimalayaBaby 1.52 100ml BabyCare 2893891291924 256
 DarkTemptationDeodorant Axe 10.08 3x150ml Beauty&Hygiene 3209497051300 55
 100%NaturalPremiumCalifornianAlmonds Happilo 10.8 500g Gourmet&WorldFood 9380753665374 331
 BathingBarSoap-Cool Dettol 7.2 6x125g Beauty&Hygiene 3760962521237 269
 BathingBarSoap-Cool Dettol 9.6 8x125g Beauty&Hygiene 1180824834430 43
 BathingBarSoap-Cool Dettol 4.32 6x75g Beauty&Hygiene 9335927353240 311
 IntenseCoolGermProtectionBathingSoapBar Dettol 1.44 2x75g Beauty&Hygiene 5062774795945 392
 BathingSoap-Cool Dettol 4.8 4x125g Beauty&Hygiene 5326710950748 53
 ChocolateHome-TreatsPack CadburyDairyMilk 7.15 3x126g Snacks&BrandedFoods 9977062405002 217
 ChocolateHomeTreatsPack CadburyDairyMilk 2.38 126g Snacks&BrandedFoods 8209994169256 347
 PureDetoxAnti-PollutionPurityFaceWashWithActivatedCharcoal Ponds 4.48 150g Beauty&Hygiene 1864947329951 352
 PureDetoxAnti-PollutionPurityFaceWashWithActivatedCharcoal Ponds 3.36 100g Beauty&Hygiene 5741659939282 142
 PureDetoxAnti-PollutionPurityFaceWashWithActivatedCharcoal Ponds 13.44 3x150g Beauty&Hygiene 8349323947437 278
 PureDetoxAnti-PollutionPurityFaceWashWithActivatedCharcoal Ponds 6.8 200g Beauty&Hygiene 3025292622402 200
 PureDetoxAnti-PollutionPurityFaceWashWithActivatedCharcoal Ponds 1.84 50g Beauty&Hygiene 4490773965194 54
 PurifyingNeemFaceWash Himalaya 4.8 300ml Beauty&Hygiene 7224948328844 66
 PurifyingNeemFaceWash Himalaya 2.08 100ml Beauty&Hygiene 6233277770426 177
 FaceWash-PurifyingNeem Himalaya 7.52 2x200ml Beauty&Hygiene 5086296831071 157
 PurifyingNeemFaceWash Himalaya 6.64 400ml Beauty&Hygiene 8029602902671 334
 PurifyingNeemFaceWash Himalaya 9.6 2x300ml Beauty&Hygiene 9632122538038 262
 PurifyingNeemFaceWash Himalaya 3.76 200ml Beauty&Hygiene 3340786875736 126
 PurifyingNeemFaceWash Himalaya 1.2 50ml Beauty&Hygiene 9827551834736 160
 Colocasia(Loose) Fresho 0.72 500g Fruits&Vegetables 7547203175625 253
 Colocasia(Loose) Fresho 1.43 1kg Fruits&Vegetables 1749508799580 127
 Colocasia(Loose) Fresho 0.36 250g Fruits&Vegetables 6030717367941 47
 StunningBlackShineHairShampoo-AmlaPearlComplex Sunsilk 4.8 360ml Beauty&Hygiene 8538044036722 95
 StunningBlackShineHairShampoo-AmlaPearlComplex Sunsilk 9.84 650ml Beauty&Hygiene 7787019268495 358
 OriginalExtraVirginOliveOil BORGES 6.4 250ml Gourmet&WorldFood 2608060462240 277
 DurumWheatPasta-Farfalle BORGES 4.0 500g Gourmet&WorldFood 3979269931480 221
 DailyShineShampoo Dove 5.52 340ml Beauty&Hygiene 9052143357098 129
 DailyShineShampoo Dove 11.84 650ml Beauty&Hygiene 4910503843045 354
 DailyShineShampoo Dove 2.88 180ml Beauty&Hygiene 5206384484751 105
 DailyShineShampoo Dove 1.15 80ml Beauty&Hygiene 4103573723940 373
 NutritiveSolutionsDailyShineShampoo-ForDullHair Dove 14.88 1L Beauty&Hygiene 9807436892778 74
 GrandFilterCoffee TataCoffee 3.68 500g Beverages 4293192007251 86
 GrandFilterCoffee TataCoffee 1.2 200g Beverages 9163254831032 265
 100%PureHoney BBRoyal 1.92 250g Snacks&BrandedFoods 7445478513994 156
 100%PureHoney BBRoyal 14.4 2x1kg Snacks&BrandedFoods 6296156864165 333
 100%PureHoney BBRoyal 7.04 2x500g Snacks&BrandedFoods 8555122500857 265
 100%PureHoney BBRoyal 7.2 1kg Snacks&BrandedFoods 3327044951890 239
 100%PureHoney BBRoyal 3.52 500g Snacks&BrandedFoods 9911504620055 335
 Watermelon-OrganicallyGrown(Loose) Fresho 1.1 1pc(approx.1-3kg) Fruits&Vegetables 1931613887536 248
 Anti-DandruffShampoo-AntiHairfall Head&shoulders 1.2 72ml Beauty&Hygiene 6679085738912 197
 AllinOneMixture Tasties 0.78 150g Snacks&BrandedFoods 2875987953225 266
 Namkeen-AllInOneMixture Tasties 4.7 6x150g Snacks&BrandedFoods 7192691288062 119
 Namkeen-AllInOneMixture Tasties 2.35 3x150g Snacks&BrandedFoods 1227082006044 297
 FreshActiveMenDeodorant-48hLonglastingFreshness Nivea 7.2 2x150ml Beauty&Hygiene 6190271226105 134
 FreshActiveMenDeodorant-48hLonglastingFreshness Nivea 14.4 4x150ml Beauty&Hygiene 9448600497249 374
 CharcoalCleanBlackGelToothpaste-BambooCharcoal&Mint Colgate 2.29 120g Beauty&Hygiene 3304479057340 223
 CharcoalCleanToothpaste Colgate 4.58 2x120g Beauty&Hygiene 4525151503462 174
 Pumpkin-OrganicallyGrown(Loose) Fresho 1.47 1pc Fruits&Vegetables 7265226191977 224
 BabyPowder HimalayaBaby 3.76 400g BabyCare 8953769962004 181
 BabyPowder HimalayaBaby 1.33 100g BabyCare 2175306659173 87
 BabyCream HimalayaBaby 4.32 200ml BabyCare 4326960629994 381
 BabyCream HimalayaBaby 1.28 50ml BabyCare 2868581050247 333
 BabyCream HimalayaBaby 2.4 100ml BabyCare 9057850460825 129
 Smooth&SilkyAnti-DandruffShampoo-SmoothHairfromRoottoTip Head&shoulders 11.84 650ml Beauty&Hygiene 8149573907318 258
 Smooth&SilkyAnti-DandruffShampoo-SmoothHairfromRoottoTip Head&shoulders 1.2 72ml Beauty&Hygiene 4780736059476 301
 AloeHydrationBodyLotion-ForNormalSkin Nivea 13.6 2x400ml Beauty&Hygiene 1043600079674 159
 DiaperPants-Small Pampers 6.38 32pcs BabyCare 9494242433775 87
 DiaperPants-Small Pampers 19.18 86pcs BabyCare 4171980737753 295
 DiaperPants-Small Pampers 12.78 56pcs BabyCare 6344664541855 337
 ShowerGel-AromaAbsoluteRelax Palmolive 3.66 250ml Beauty&Hygiene 6650210890676 207
 ShowerGel-AromaAbsoluteRelax Palmolive 10.99 3x250ml Beauty&Hygiene 5407899525060 358
 Wipes-GentleBaby HimalayaBaby 3.2 72pcs BabyCare 6689199478025 125
 FreshActiveRollOn NiveaMen 6.37 2x50ml Beauty&Hygiene 3288908569945 38
 Everfresh+Anti-GermGelToothpaste-RedHot CloseUp 1.62 150g Beauty&Hygiene 2367544782421 386
 Everfresh+Anti-GermGelToothpaste-RedHot CloseUp 6.46 150g Beauty&Hygiene 6876156726242 134
 Everfresh+Anti-GermGelToothpaste-RedHot CloseUp 2.91 150g Beauty&Hygiene 2594725953267 181
 DarkFantasy-ChocoFills Sunfeast 8.16 3x300g Snacks&BrandedFoods 4402658779844 157
 PulseDeodorant Axe 10.08 3x150ml Beauty&Hygiene 1356634728733 194
 Pearl&BeautyWomenDeodorant-BeautifulUnderarms&48hProtection Nivea 3.6 150ml Beauty&Hygiene 9509860543314 268
 Pearl&BeautyWomenDeodorant-BeautifulUnderarms&48hProtection Nivea 7.2 2x150ml Beauty&Hygiene 1927569081279 105
 Pearl&BeautyWomenDeodorant-BeautifulUnderarms&48HProtection Nivea 10.8 3x150ml Beauty&Hygiene 2832103975927 258
 Strong&LongHealthShampoo ClinicPlus 3.68 340ml Beauty&Hygiene 4641786181716 336
 Strong&LongHealthShampoo ClinicPlus 11.18 1L Beauty&Hygiene 4511092524796 381
 Strong&LongHealthShampoo ClinicPlus 0.83 80ml Beauty&Hygiene 9079903531463 267
 Strong&LongHealthShampoo ClinicPlus 8.4 650ml Beauty&Hygiene 2354111863630 352
 Strong&LongHealthShampoo ClinicPlus 1.84 175ml Beauty&Hygiene 7813269114628 334
 Strong&LongHealthShampoo ClinicPlus 3.68 340ml Beauty&Hygiene 7470331365160 41
 IntenseRepairShampoo Dove 11.84 650ml Beauty&Hygiene 1630826828936 254
 IntenseRepairShampoo Dove 15.98 1L Beauty&Hygiene 1184029816920 259
 IntenseRepairShampoo Dove 5.52 340ml Beauty&Hygiene 3397954244478 309
 IntenseRepairShampoo Dove 1.09 80ml Beauty&Hygiene 4623080723400 72
 IntenseRepairShampoo Dove 2.72 180ml Beauty&Hygiene 8181225661631 360
 Namkeen-TastyNutMasalaCoated Tasties 2.35 3x150g Snacks&BrandedFoods 5600987640348 362
 TastyPeanuts-SpiceCoated Tasties 0.19 50g Snacks&BrandedFoods 9950682366362 354
 TastyPeanuts-SpiceCoated Tasties 0.78 150g Snacks&BrandedFoods 2924823602147 35
 Namkeen-TastyNutMasalaCoated Tasties 4.7 6x150g Snacks&BrandedFoods 3766423963207 294
 Beetroot-OrganicallyGrown(Loose) Fresho 0.57 250g Fruits&Vegetables 2057856938255 363
 Beetroot-OrganicallyGrown(Loose) Fresho 2.27 1kg Fruits&Vegetables 6054331997732 84
 Beetroot-OrganicallyGrown(Loose) Fresho 1.13 500g Fruits&Vegetables 5328489427346 51
 5StarChocolateHomePack Cadbury 2.38 200g Snacks&BrandedFoods 8283659740369 331
 5StarChocolateHomePack(20Units) Cadbury 7.15 3x200g Snacks&BrandedFoods 5193289337596 283
 BitterGourd-OrganicallyGrown(Loose) Fresho 0.48 250g Fruits&Vegetables 4663109321563 209
 BitterGourd-OrganicallyGrown(Loose) Fresho 1.91 1kg Fruits&Vegetables 8468574904451 132
 Coconut-OrganicallyGrown(Loose) Fresho 0.82 1pc Fruits&Vegetables 9418778980114 190
 Pineapple Fresho 1.0 1pc Fruits&Vegetables 9495643353218 338
 MoisturisingBodyLotion-TripleVitamin Ponds 8.78 600ml Beauty&Hygiene 7170619299949 334
 FreshNaturalWomenDeodorant-LongLastingFreshness&48hProtection Nivea 7.2 2x150ml Beauty&Hygiene 8656835147417 73
 FreshNaturalWomenDeodorant-LongLastingFreshness&48hProtection Nivea 3.6 150ml Beauty&Hygiene 3437639614557 49
 FreshNaturalWomenDeodorant-LongLastingFreshness&48HProtection Nivea 10.8 3x150ml Beauty&Hygiene 8148776611493 165
 UnderarmRollOnDeodorantForWomen-PowderDry Rexona 2.32 50ml Beauty&Hygiene 9902135052147 369
 UnderarmRoll-OnDeodorantForWomen-PowderDry Rexona 4.64 2x50ml Beauty&Hygiene 8641619039014 95
 GentleBabyWipes-(SSC)INDOffer Himalaya 5.6 72pcs BabyCare 3224595641990 362
 UnderarmRollOnDeodorantForWomen-AloeVera Rexona 2.32 50ml Beauty&Hygiene 9130653563632 241
 UnderarmRoll-OnDeodorantForWomen-AloeVera Rexona 4.64 2x50ml Beauty&Hygiene 1228648239259 261
 3MinuteBreakfast-Poha MTR 0.43 60g Snacks&BrandedFoods 2942180288161 48
 3MinuteBreakfast-Poha MTR 1.04 80g Snacks&BrandedFoods 2538297231506 158
 Toothpaste-SwarnaVedshaktiNatural Colgate 3.65 2x200g Beauty&Hygiene 2271824636363 40
 Toothpaste-SwarnaVedshaktiNatural Colgate 7.3 4x200g Beauty&Hygiene 6432224311016 173
 Anti-HairFallShampoo-withBhringaraja Himalaya 8.64 700ml Beauty&Hygiene 9677722664423 106
 Anti-HairFallShampoo Himalaya 4.08 400ml Beauty&Hygiene 5982451727995 276
 Anti-HairFallShampoo Himalaya 2.32 200ml Beauty&Hygiene 8445346162994 347
 RollOnDeodorant-WhiteningSensitive Nivea 3.18 50ml Beauty&Hygiene 2021984324074 124
 DeodorantWhiteningSensitiveRollOn Nivea 6.37 2x50ml Beauty&Hygiene 4168608798191 45
 Noodles-CurryVeg TopRamen 0.4 70g Snacks&BrandedFoods 5035904904366 130
 Noodles-CurryVeg TopRamen 1.6 280g Snacks&BrandedFoods 9759116316139 43
 FreshOceanDeodorant-48HLong-LastingFreshnessWithFreshAquaScent NiveaMen 10.8 3x150ml Beauty&Hygiene 1446923080495 282
 FreshOceanDeodorant-48hLonglastingFreshnessWithFreshAquaScent NiveaMen 3.6 150ml Beauty&Hygiene 5505174121657 57
 FreshOceanDeodorant-48HLong-LastingFreshnessWithFreshAquaScent NiveaMen 7.2 2x150ml Beauty&Hygiene 1020534237264 150
 DillLeaves Fresho 4.84 1kg Fruits&Vegetables 5342425408500 210
 DillLeaves Fresho 1.21 250g Fruits&Vegetables 1138785327465 101
 DillLeaves Fresho 0.48 100g Fruits&Vegetables 1727365039211 114
 WhiteglowSkinWhitening&BrighteningGelCremePA+++-SPF25 LotusHerbals 4.64 40g Beauty&Hygiene 1980545763692 303
 WhiteglowSkinWhitening&BrighteningGelCremePA+++-SPF25 LotusHerbals 6.64 60g Beauty&Hygiene 9409665511644 100
 WhiteglowSkinWhitening&BrighteningGelCremePA+++-SPF25 LotusHerbals 1.58 18g Beauty&Hygiene 8180608715098 120
 Pro-VAdvancedHairFallSolutionShampoo-StrengthensRoots Pantene 4.88 340ml Beauty&Hygiene 4657286949160 348
 AdvancedHairFallSolutionShampoo Pantene 2.32 180ml Beauty&Hygiene 8649819966712 304
 AdvancedHairFallSolutionShampoo Pantene 1.04 75ml Beauty&Hygiene 8485498998794 370
 TotalRepair5AdvancedRepairingShampoo-DamagedHair LorealParis 5.9 396ml Beauty&Hygiene 3006699029875 326
 SambarOnion-Peeled(SmallOnion) Fresho 0.73 200g Fruits&Vegetables 1153718827811 41
 PureHoney Saffola 7.6 1Kg Snacks&BrandedFoods 1570641851227 307
 PureHoney Saffola 1.92 250g Snacks&BrandedFoods 1009678699877 87
 PureHoney Saffola 3.18 500g Snacks&BrandedFoods 2330323789479 348
 100%PureHenna/Mehendi-NaturalConditioning&Anti-DandruffHairColourSolution GodrejNupur 1.92 200g Beauty&Hygiene 3019749333804 233
 100%PureHenna/Mehendi-NaturalConditioning&Anti-DandruffHairColourSolution GodrejNupur 4.0 500g Beauty&Hygiene 6856431424791 254
 PremiumCareDiapers-Small Pampers 5.12 21pcs BabyCare 4788129189287 63
 MadAngles-AchaariMasti Bingo 0.96 3x72.5g Snacks&BrandedFoods 3189167134903 42
 BingoMadAngles-AchaariMasti Bingo 1.92 6x72.5g Snacks&BrandedFoods 4750072083416 139
 NachoChips-Peri-Peri Tasties 1.28 2x60g Gourmet&WorldFood 7659608080385 361
 NachoChips-Peri-Peri Tasties 0.64 60g Gourmet&WorldFood 7741101948997 349
 OriginalRecipe-Pizza&PastaSauce WingreensFarms 2.38 450g Gourmet&WorldFood 2341009261523 158
 HairTherapyIntenseRepairConditioner-withKeratinActives Dove 1.44 75ml Beauty&Hygiene 4473630231463 159
 ChocolateSyrup Hersheys 3.52 623g Snacks&BrandedFoods 2152821399974 31
 ChocolateSyrup Hersheys 1.52 200g Snacks&BrandedFoods 7498398706429 44
